,date,open,high,low,close,adj_close,volume,stock
0,1962-02-13,5.76556304522923,7.239583492279053,7.104166507720947,7.104166507720947,0.923801600933075,15600,FL
1,1962-02-26,5.76556304522923,29.9375,29.75,29.9375,0.49964144825935364,2000,DTE
2,1962-02-16,5.76556304522923,10.03125,9.875,9.890625,0.22428318858146667,38400,ED
3,1962-02-15,1.671875,1.671875,1.6458333730697632,1.6666666269302368,0.1431639939546585,60000,CAT
4,1962-02-15,5.76556304522923,1.7109375,1.6953125,1.70703125,0.015216201543807983,742400,XOM
5,1962-01-24,5.76556304522923,8.157849311828613,8.036992073059082,8.097420692443848,0.7095770835876465,47000,IP
6,1962-10-17,4.919415473937988,4.919415473937988,4.849137783050537,4.895989418029785,1.148114562034607,58200,ARNC
7,1962-01-10,1.703125,1.7135416269302368,1.6770833730697632,1.6822916269302368,0.1436273455619812,182400,CAT
8,1962-05-15,0.0823080986738205,0.08293164521455765,0.0823080986738205,0.08293164521455765,0.031785525381565094,350300,DIS
9,1962-04-02,5.76556304522923,29.5,29.3125,29.375,0.49478933215141296,1800,DTE
10,1962-06-12,0.6422776579856873,0.6422776579856873,0.612229585647583,0.6147335767745972,0.0014836471527814865,2735600,GE
11,1962-05-17,5.76556304522923,9.6875,9.4375,9.46875,1.6658138036727905,28000,GT
12,1962-02-09,5.516772747039795,5.551911354064941,5.4582085609436035,5.4582085609436035,1.2668598890304565,36200,ARNC
13,1962-09-25,5.76556304522923,225.625,224.375,225.625,104.56268310546875,300,NAV
14,1962-09-24,5.76556304522923,0.99609375,0.966796875,0.984375,0.009436680004000664,448000,PG
15,1962-05-18,5.986666679382324,6.019999980926514,5.940000057220459,6.019999980926514,0.48807358741760254,731200,IBM
16,1962-01-23,5.76556304522923,1.310546875,1.30078125,1.302734375,0.012363703921437263,332800,PG
17,1962-05-08,5.81525993347168,5.823269844055176,5.731154918670654,5.731154918670654,1.3550792932510376,69900,AA
18,1962-09-19,5.76556304522923,1.66796875,1.65625,1.65625,0.015101844444870949,454400,XOM
19,1962-04-06,5.76556304522923,6.822916507720947,6.770833492279053,6.791666507720947,0.8831650614738464,16800,FL
20,1962-03-14,0.8477365970611572,0.8621399402618408,0.8436213731765747,0.8477365970611572,0.15148787200450897,583200,BA
21,1962-04-23,0.7424378991127014,0.7449418902397156,0.7386819124221802,0.7386819124221802,0.0017690499080345035,1727200,GE
22,1962-08-03,5.143333435058594,5.166666507720947,5.0933332443237305,5.133333206176758,0.4161868691444397,947200,IBM
23,1962-05-01,0.08573760837316513,0.08729647099971771,0.08542583137750626,0.08667292445898056,0.03321944177150726,467100,DIS
24,1962-07-20,5.106821537017822,5.247376441955566,5.086319446563721,5.141960144042969,1.199828028678894,27700,ARNC
